id,name,link,stt_file_path
62b477737a437527d1091a1d,India Inc - Road to net-zero by 2070,https://www.khulke.com/roundtable?id=62b477737a437527d1091a1d,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/6226db38425526c7ddd8085a/roundtable/62b477737a437527d1091a1d/recording_stt_file/transcript.txt
62b56ec1834a74b1ff43a21d,Pati Patni Aur Picture,https://www.khulke.com/roundtable?id=62b56ec1834a74b1ff43a21d,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/624710bb7ea1481da12ac2a0/roundtable/62b56ec1834a74b1ff43a21d/recording_stt_file/transcript.txt
62b1dac93608de6150d7f664,Open to Question - The Future of Jobs in India,https://www.khulke.com/roundtable?id=62b1dac93608de6150d7f664,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/6226db38425526c7ddd8085a/roundtable/62b1dac93608de6150d7f664/recording_stt_file/transcript.txt
62a7111a7b231721e2cb5166,Are Chinese Computer Chips Safe for India?,https://www.khulke.com/roundtable?id=62a7111a7b231721e2cb5166,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/624bf8b82c80d36f0077e0cb/roundtable/62a7111a7b231721e2cb5166/recording_stt_file/transcript.txt
62b1e0fba51906bf050606fe,The Rise of Pan Indian Films,https://www.khulke.com/roundtable?id=62b1e0fba51906bf050606fe,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/623828b19879f76bda5763d0/roundtable/62b1e0fba51906bf050606fe/recording_stt_file/transcript.txt
62a2f95c33a01c8126813262,Yoga Meets Modern Science,https://www.khulke.com/roundtable?id=62a2f95c33a01c8126813262,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/624bf8b82c80d36f0077e0cb/roundtable/62a2f95c33a01c8126813262/recording_stt_file/transcript.txt
62a99d9e815c3c3ad95ce546,India Inc - Is e-cooking the future?,https://www.khulke.com/roundtable?id=62a99d9e815c3c3ad95ce546,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/6226db38425526c7ddd8085a/roundtable/62a99d9e815c3c3ad95ce546/recording_stt_file/transcript.txt
62a734afa8f2ddacd4b9335d,Open To Question with Smita Gupta,https://www.khulke.com/roundtable?id=62a734afa8f2ddacd4b9335d,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/6226db38425526c7ddd8085a/roundtable/62a734afa8f2ddacd4b9335d/recording_stt_file/transcript.txt
629a2899911fdf6318fed70b,Culture Chronicles with Nikhil and Tuheen,https://www.khulke.com/roundtable?id=629a2899911fdf6318fed70b,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/61e933d81fb5f6fb7412ffb1/roundtable/629a2899911fdf6318fed70b/recording_stt_file/transcript.txt
62a2cea890b545e320285619,Investing through Inflation,https://www.khulke.com/roundtable?id=62a2cea890b545e320285619,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/6226db38425526c7ddd8085a/roundtable/62a2cea890b545e320285619/recording_stt_file/transcript.txt
629dc0e1ca4747de36703210,Neglected Diseases & Is Monkey Pox A Real Threat?,https://www.khulke.com/roundtable?id=629dc0e1ca4747de36703210,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/624bf8b82c80d36f0077e0cb/roundtable/629dc0e1ca4747de36703210/recording_stt_file/transcript.txt
62986eadfa3ea69e5d1b5755,India Inc - Era of Ed-tech,https://www.khulke.com/roundtable?id=62986eadfa3ea69e5d1b5755,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/6226db38425526c7ddd8085a/roundtable/62986eadfa3ea69e5d1b5755/recording_stt_file/transcript.txt
6295eff482029db9278e867b,How Robust is Indiaâ€™s Monsoon Forecasting?,https://www.khulke.com/roundtable?id=6295eff482029db9278e867b,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/624bf8b82c80d36f0077e0cb/roundtable/6295eff482029db9278e867b/recording_stt_file/transcript.txt
6295e540adb1e218b9293721,Setu - The Film Launch Event,https://www.khulke.com/roundtable?id=6295e540adb1e218b9293721,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/6295e0958ec57cfb10ef1684/roundtable/6295e540adb1e218b9293721/recording_stt_file/transcript.txt
628488e37dcf9ab3181c4f27,Curtain Call with Team Anandowari,https://www.khulke.com/roundtable?id=628488e37dcf9ab3181c4f27,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/61e933d81fb5f6fb7412ffb1/roundtable/628488e37dcf9ab3181c4f27/recording_stt_file/transcript.txt
6290b27981396bb1ea37231e,Debriefing the 1st Plant-Based Foods Summit,https://www.khulke.com/roundtable?id=6290b27981396bb1ea37231e,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/6226db38425526c7ddd8085a/roundtable/6290b27981396bb1ea37231e/recording_stt_file/transcript.txt
6285c22dfb649b51b45b3fb6,Pati Patni Aur Picture Epi 6,https://www.khulke.com/roundtable?id=6285c22dfb649b51b45b3fb6,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/624710bb7ea1481da12ac2a0/roundtable/6285c22dfb649b51b45b3fb6/recording_stt_file/transcript.txt
6284e1bff69c0288ef7194be,India Inc - Path to plant-based meat,https://www.khulke.com/roundtable?id=6284e1bff69c0288ef7194be,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/6226db38425526c7ddd8085a/roundtable/6284e1bff69c0288ef7194be/recording_stt_file/transcript.txt
627e79dfc1ca79407a25a0ea,Culture Chronicles with Shunashir and Karishma,https://www.khulke.com/roundtable?id=627e79dfc1ca79407a25a0ea,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/61e933d81fb5f6fb7412ffb1/roundtable/627e79dfc1ca79407a25a0ea/recording_stt_file/transcript.txt
62822f81904747db7438237d,Kashmir Konversations with Vivek Agnihotri,https://www.khulke.com/roundtable?id=62822f81904747db7438237d,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/623087471eec920be60b497a/roundtable/62822f81904747db7438237d/recording_stt_file/transcript.txt
627a3a5572d26aa036bbdd97,Culture Chronicles with Priyadarshini Chatterjee,https://www.khulke.com/roundtable?id=627a3a5572d26aa036bbdd97,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/61e933d81fb5f6fb7412ffb1/roundtable/627a3a5572d26aa036bbdd97/recording_stt_file/transcript.txt
